nome_fantasia,slug,inicio_atividades,porte_empresa,nome_cidade,sigla_uf,populacao_cidade,latitude_cidade,longitude_cidade,dist_1,dist_2,dist_3,dist_4
CONAC ADMINISTRACAO DE CONDOMINIO,conac-administracao-de-condominio,13/09/1993,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONAP - CONTABILIDADE ASSESSORIA E PLANEJAMENTO,conap-contabilidade-assessoria-e-planejamento,17/02/2010,1,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,105KM,84KM,82KM,271KM
CONCEYTOS MODAS,conceytos-modas,22/11/2007,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONCOMOSIM,concomosim,10/04/1989,5,Bom Jesus da Lapa,BA,70151,-13.2506,-43.4108,555KM,495KM,533KM,329KM
CONCREPISO MEDRADO & CIA,concrepiso-medrado-cia,19/06/2009,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
CONCIBA ENGENHARIA,conciba-engenharia,21/10/2004,3,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONCRETIZA,concretiza,28/05/1992,5,Simões Filho,BA,137117,-12.7866,-38.4029,13KM,84KM,23KM,349KM
CONCREPISO - MEDRADO & CIA.,concrepiso-medrado-cia,17/03/2000,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
COMVEL VEICULOS,comvel-veiculos,31/10/1985,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
COND SAO FRANCISCO,cond-sao-francisco,27/04/2010,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
COND.EDF.RESIDENCIAL SOLAR DA LAGOA,condedfresidencial-solar-da-lagoa,11/06/2007,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDE DE LINHARES,conde-de-linhares,25/03/1976,5,São Francisco do Conde,BA,40664,-12.6183,-38.6786,39KM,50KM,44KM,341KM
CONCRETAL,concretal,12/01/1988,3,Ipiaú,BA,45969,-14.1226,-39.7353,220KM,223KM,185KM,145KM
CONCISA,concisa,14/07/1972,3,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOHOTEL,condohotel,06/08/2004,1,Lauro de Freitas,BA,204669,-12.8978,-38.321,22KM,99KM,21KM,348KM
CONDEUBA CAMARA DE VEREADORES,condeuba-camara-de-vereadores,01/01/1901,5,Condeúba,BA,17113,-14.9022,-41.9718,465KM,439KM,433KM,121KM
CONDOMINIO ABAETETUBA,condominio-abaetetuba,27/09/2004,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOINIO EDF. SHOPPING PORTO SEGURO,condoinio-edf-shopping-porto-seguro,13/09/1995,5,Porto Seguro,BA,152529,-16.4435,-39.0643,424KM,465KM,391KM,260KM
CONDOMINIO ALAMEDA DAS ACACIAS,condominio-alameda-das-acacias,21/05/1980,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO AMAZON,condominio-amazon,21/09/2006,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
COND.MANSAO FOREST GARDEN,condmansao-forest-garden,08/01/1999,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO CAMILLE RESIDENCE,condominio-camille-residence,06/08/2004,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO CARLOS DRUMMOND DE ANDRADE,condominio-carlos-drummond-de-andrade,31/07/2007,5,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
CONDOMINIO CENTRAL PARK,condominio-central-park,22/11/2010,5,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
CONDOMINIO BLUE SHOPPING,condominio-blue-shopping,20/05/1987,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO ALTO DAS BROMELIAS,condominio-alto-das-bromelias,30/10/2007,5,Mata de São João,BA,47643,-12.5307,-38.3009,19KM,78KM,54KM,377KM
CONDOMINIO CIVIL SHOPPING CENTER PARALELA,condominio-civil-shopping-center-paralela,25/09/2006,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO ALPHA LIFE RESIDENCE,condominio-alpha-life-residence,29/12/2010,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO COQUEIRAL DA BARRA,condominio-coqueiral-da-barra,08/02/1999,5,Vera Cruz,BA,44185,-12.9568,-38.6153,42KM,86KM,12KM,320KM
