nome_fantasia,slug,inicio_atividades,porte_empresa,nome_cidade,sigla_uf,populacao_cidade,latitude_cidade,longitude_cidade,dist_1,dist_2,dist_3,dist_4
GRUPO UNIAO,grupo-uniao,11/02/1988,5,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
GS BAR E RESTAURANTE,gs-bar-e-restaurante,03/11/1995,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
GRUPO SPA,grupo-spa,27/05/2010,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
GS TELECOM,gs-telecom,14/06/2010,1,Luís Eduardo Magalhães,BA,92671,-12.0956,-45.7866,812KM,741KM,795KM,614KM
GSAN GREMIO SOCIAL E CULTURAL POPULAR SANTANTONIENSE,gsan-gremio-social-e-cultural-popular-santantoniense,15/03/1988,5,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,105KM,84KM,82KM,271KM
GS CONSTRUCOES E INCORPORACOES IMOBILIARIAS,gs-construcoes-e-incorporacoes-imobiliarias,14/05/1997,1,Teixeira de Freitas,BA,164290,-17.5399,-39.74,560KM,592KM,525KM,321KM
GRUTA JEANS,gruta-jeans,23/01/1981,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
GSC CONSTRUCOES E COMERCIO LTDA,gsc-construcoes-e-comercio-ltda,11/05/2012,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
GSANTOS EMPREENDIMENTOS,gsantos-empreendimentos,05/11/1973,1,Barrocas,BA,16225,-11.5272,-39.0776,154KM,83KM,172KM,417KM
GTA TRANSPORTE E LOCACAO,gta-transporte-e-locacao,12/11/2007,1,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
GS TRANSPORTES,gs-transportes,17/06/2014,1,Ipirá,BA,59281,-12.1561,-39.7359,164KM,85KM,162KM,324KM
GTB HOTEIS E TURISMO,gtb-hoteis-e-turismo,10/11/2009,1,Porto Seguro,BA,152529,-16.4435,-39.0643,424KM,465KM,391KM,260KM
GUAMEL COMERCIAL,guamel-comercial,14/04/2009,3,Guanambi,BA,85353,-14.2231,-42.7799,512KM,468KM,484KM,220KM
GUANAMBI LOCADORA DE VEICULOS,guanambi-locadora-de-veiculos,28/11/2011,1,Guanambi,BA,85353,-14.2231,-42.7799,512KM,468KM,484KM,220KM
GSM,gsm,19/07/2005,5,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
GSHOW PROMOCOES ARTISTICAS E HOSPEDARIA,gshow-promocoes-artisticas-e-hospedaria,10/07/2008,1,Guanambi,BA,85353,-14.2231,-42.7799,512KM,468KM,484KM,220KM
GUANAMDIESEL AUTO PECAS,guanamdiesel-auto-pecas,11/03/2004,1,Guanambi,BA,85353,-14.2231,-42.7799,512KM,468KM,484KM,220KM
GUANANFERRO,guananferro,12/08/2011,1,Guanambi,BA,85353,-14.2231,-42.7799,512KM,468KM,484KM,220KM
GTEC,gtec,16/02/2005,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
GUAPIRA,guapira,12/05/2011,1,Palmeiras,BA,9123,-12.5059,-41.5809,354KM,285KM,338KM,274KM
GUARATINGA (BA),guaratinga-ba,25/05/1983,5,Guaratinga,BA,20565,-16.5833,-39.7847,460KM,488KM,425KM,223KM
GUARDIAO OXOSSI,guardiao-oxossi,24/08/2004,1,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
GUARDA ROUPA,guarda-roupa,16/04/1998,1,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,105KM,84KM,82KM,271KM
GUARDIOES DA VIDA,guardioes-da-vida,06/06/2011,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
GUEBOR,guebor,26/11/2007,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
GUARANA DO AMAZONAS,guarana-do-amazonas,10/11/1993,1,Eunápolis,BA,115360,-16.3715,-39.5821,430KM,461KM,396KM,216KM
GUERREIRO DISTRIBUIDORA,guerreiro-distribuidora,27/01/2006,1,Alagoinhas,BA,153023,-12.1335,-38.4208,64KM,61KM,94KM,400KM
GUICHE DE PASSAGENS,guiche-de-passagens,23/09/2010,1,Governador Mangabeira,BA,20800,-12.5994,-39.0412,78KM,38KM,72KM,318KM
GUIBOR BRASIL ACESSORIA E CAPACITACAO PROFISSIONAL,guibor-brasil-acessoria-e-capacitacao-profissional,08/10/2002,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
GUILHERME KAHUNA,guilherme-kahuna,08/11/2010,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
GUCCE,gucce,06/06/2005,1,Lauro de Freitas,BA,204669,-12.8978,-38.321,22KM,99KM,21KM,348KM
GUERREIROS E COMBATENTES,guerreiros-e-combatentes,05/03/2012,1,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
GUIMARAES TRANSPORTES,guimaraes-transportes,11/09/2002,1,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
GUIMARAES & FAHEL,guimaraes-fahel,28/07/2011,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
GUINCHOS GOMES,guinchos-gomes,08/03/2012,1,Monte Santo,BA,49145,-10.4374,-39.3321,274KM,207KM,296KM,518KM
GUINCHO CHAVES,guincho-chaves,21/11/2006,1,Jaguaquara,BA,54913,-13.5248,-39.964,200KM,177KM,170KM,176KM
GUINCHOS TREVO,guinchos-trevo,20/11/2001,1,Santo Amaro,BA,60190,-12.5472,-38.7137,45KM,42KM,53KM,344KM
GUIMARAES COSMETICOS,guimaraes-cosmeticos,30/12/2011,1,Valença,BA,97873,-13.3669,-39.073,110KM,123KM,76KM,253KM
GUINHO MATERIAL DE CONSTRUCAO,guinho-material-de-construcao,28/07/2009,1,Pedrão,BA,7438,-12.1491,-38.6487,70KM,37KM,93KM,383KM
GUIMARAES COURO,guimaraes-couro,25/09/1990,1,Inhambupe,BA,40720,-11.781,-38.355,102KM,86KM,133KM,435KM
GUIMA SOM,guima-som,05/03/2012,1,Rio Real,BA,41209,-11.4814,-37.9332,142KM,142KM,177KM,489KM
GUT GURT,gut-gurt,14/03/2012,1,Lauro de Freitas,BA,204669,-12.8978,-38.321,22KM,99KM,21KM,348KM
GYLOYA EVENTOS,gyloya-eventos,12/03/2012,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
GW LOGISTICA,gw-logistica,14/03/2011,3,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
GULA,gula,14/04/2004,1,Ribeira do Pombal,BA,54097,-10.8373,-38.5382,208KM,166KM,237KM,512KM
GUSMAC,gusmac,25/09/1979,3,Ipirá,BA,59281,-12.1561,-39.7359,164KM,85KM,162KM,324KM
GULA DISTRIBUIDORA DE AGUA MINERAL,gula-distribuidora-de-agua-mineral,17/06/2009,1,Itapetinga,BA,77408,-15.2475,-40.2482,352KM,360KM,316KM,77KM
H & Z ACESSORIOS PARA AUTOS,h-z-acessorios-para-autos,11/02/2004,1,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
H A DE ANDRADE,h-a-de-andrade,01/03/2011,1,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
H G MAQ E PECAS,h-g-maq-e-pecas,17/10/1988,1,Ilhéus,BA,157639,-14.793,-39.046,246KM,281KM,211KM,193KM
H G S ELETRICA & ELETRONICA,h-g-s-eletrica-eletronica,03/06/2014,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
H J MANUTENCAO,h-j-manutencao,24/04/1991,1,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
H B SERVICOS,h-b-servicos,01/02/2005,1,Paulo Afonso,BA,119213,-9.3983,-38.2216,367KM,329KM,399KM,670KM
H L P FOTO GRAVACAO,h-l-p-foto-gravacao,23/10/2007,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
H D FM,h-d-fm,04/07/1985,1,Valença,BA,97873,-13.3669,-39.073,110KM,123KM,76KM,253KM
H. A. AGROPECUARIA,h-a-agropecuaria,23/01/2009,1,São Sebastião do Passé,BA,44554,-12.5123,-38.4905,27KM,58KM,51KM,364KM
H. OLHOS,h-olhos,14/06/2007,3,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
H STERN,h-stern,08/09/2005,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
H. S. TECIDOS,h-s-tecidos,02/12/2004,1,Una,BA,18108,-15.2791,-39.0765,298KM,335KM,264KM,196KM
H R REPRESENTACOES,h-r-representacoes,29/08/2011,1,Pé de Serra,BA,13535,-11.8313,-39.611,170KM,85KM,175KM,362KM
HA MIL,ha-mil,25/09/2003,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HABEAS COPOS BARRA,habeas-copos-barra,16/12/1982,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HABIB'S,habibs,17/10/2003,3,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
H3 INFORMATICA,h3-informatica,24/11/2005,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HABA HIT'S,haba-hits,02/06/2005,1,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
HABILITA COOPERATIVA DE CONSULTORIA DO ESTADO DA BAHIA,habilita-cooperativa-de-consultoria-do-estado-da-bahia,10/02/2004,5,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
HABIL SERVICOS CONTABEIS,habil-servicos-contabeis,04/07/2001,3,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
H.M. TURISMO,hm-turismo,01/06/1999,1,Cruz das Almas,BA,63923,-12.6675,-39.1008,84KM,47KM,73KM,308KM
H. STORE,h-store,01/06/2010,1,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
HABITACIONAL,habitacional,07/07/2005,1,Porto Seguro,BA,152529,-16.4435,-39.0643,424KM,465KM,391KM,260KM
HABITUS DECORACAO E DESIGN,habitus-decoracao-e-design,18/08/2008,1,Lauro de Freitas,BA,204669,-12.8978,-38.321,22KM,99KM,21KM,348KM
HADASSA REFRIGERACAO,hadassa-refrigeracao,08/03/2007,1,Luís Eduardo Magalhães,BA,92671,-12.0956,-45.7866,812KM,741KM,795KM,614KM
HALAI POUSADA E RESTAURANTE,halai-pousada-e-restaurante,13/12/2006,1,Cairu,BA,18666,-13.4904,-39.0465,118KM,136KM,83KM,246KM
HABILITRAN,habilitran,08/02/2010,1,Euclides da Cunha,BA,61112,-10.5078,-39.0153,255KM,196KM,280KM,523KM
HAPPY ORTHO CLINICA ODONTOLOGICA,happy-ortho-clinica-odontologica,23/09/2009,1,Lauro de Freitas,BA,204669,-12.8978,-38.321,22KM,99KM,21KM,348KM
HANDYTECH DISTRIBUIDORA,handytech-distribuidora,14/08/2001,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HARDWARE E SOFT EM ELETRONICOS E CIA,hardware-e-soft-em-eletronicos-e-cia,19/11/2010,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HARMONIA - RESIDENCIA PARA IDOSOS,harmonia-residencia-para-idosos,17/03/2009,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HARMONIZE CENTRO DE TERAPIAS COMPLEMENTARES,harmonize-centro-de-terapias-complementares,30/06/2010,1,Serrinha,BA,81693,-11.6584,-39.01,137KM,68KM,156KM,407KM
HANGAR,hangar,24/03/2010,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HAVAIANAS DO IU,havaianas-do-iu,09/03/2012,1,Santa Bárbara,BA,20971,-11.9515,-38.9681,108KM,35KM,124KM,381KM
HANSA TOUR,hansa-tour,12/01/1996,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HAPPY DAY BOMBONIERE,happy-day-bomboniere,05/04/2005,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HB AUTO ELETRICA,hb-auto-eletrica,11/06/2012,1,Mucuri,BA,42729,-18.0754,-39.5565,612KM,649KM,579KM,383KM
HAVER SERVICOS LTDA,haver-servicos-ltda,03/10/2000,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HB3 MIDIA LTDA,hb3-midia-ltda,30/08/2006,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HARPIA INDUSTRIAL,harpia-industrial,16/07/2001,1,Simões Filho,BA,137117,-12.7866,-38.4029,13KM,84KM,23KM,349KM
HC EMPREENDIMENTO IMOBILIARIO,hc-empreendimento-imobiliario,01/12/1998,1,Guanambi,BA,85353,-14.2231,-42.7799,512KM,468KM,484KM,220KM
HC EMPRESTIMOS,hc-emprestimos,01/02/2007,1,Anagé,BA,21229,-14.6151,-41.1356,372KM,352KM,339KM,42KM
HC HOSP CLIN DE ONCOLOG AGEFES-SAUDE O ESP STO E A PAZ,hc-hosp-clin-de-oncolog-agefes-saude-o-esp-sto-e-a-paz,07/12/2010,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HAVAIANAS POINT,havaianas-point,29/07/2009,3,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
HC OFICINA MECANICA.,hc-oficina-mecanica,20/07/2011,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HBR CONFECCOES,hbr-confeccoes,20/04/2000,3,Juazeiro,BA,219544,-9.41622,-40.5033,435KM,358KM,451KM,607KM
HC CAPITAL,hc-capital,15/10/2004,3,Brumado,BA,67468,-14.2021,-41.6696,399KM,364KM,370KM,115KM
HCN,hcn,18/08/2005,1,Lauro de Freitas,BA,204669,-12.8978,-38.321,22KM,99KM,21KM,348KM
HD DISTRIBUIDORA DE ALIMENTOS,hd-distribuidora-de-alimentos,22/06/2001,1,Guaratinga,BA,20565,-16.5833,-39.7847,460KM,488KM,425KM,223KM
HE SERVICOS,he-servicos,02/09/2011,1,Eunápolis,BA,115360,-16.3715,-39.5821,430KM,461KM,396KM,216KM
HD DISTRIBUIDORA,hd-distribuidora,01/09/2008,1,Teixeira de Freitas,BA,164290,-17.5399,-39.74,560KM,592KM,525KM,321KM
HD CONSTRUTORA,hd-construtora,16/02/2012,5,Porto Seguro,BA,152529,-16.4435,-39.0643,424KM,465KM,391KM,260KM
HCF INCORPORACOES E LOTEAMENTOS,hcf-incorporacoes-e-loteamentos,04/03/2009,5,Luís Eduardo Magalhães,BA,92671,-12.0956,-45.7866,812KM,741KM,795KM,614KM
HEBRON TRANSPORTES E LOCACOES,hebron-transportes-e-locacoes,21/07/2011,1,Barreiras,BA,158432,-12.1439,-44.9968,726KM,655KM,710KM,539KM
HEINKEL,heinkel,12/11/1998,1,Itapetinga,BA,77408,-15.2475,-40.2482,352KM,360KM,316KM,77KM
HELENOTICA,helenotica,28/05/2010,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HELO MAGAZINE,helo-magazine,29/07/2003,1,Caraíbas,BA,8659,-14.7177,-41.2603,389KM,369KM,356KM,47KM
HELLOA JOIAS & CONFECCOES,helloa-joias-confeccoes,16/05/2007,1,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
HED-CAR VEICULOS,hed-car-veiculos,19/07/2001,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
HELOISA MOVEIS,heloisa-moveis,04/12/2008,1,Jacobina,BA,80749,-11.1812,-40.5117,291KM,207KM,295KM,411KM
HECTTOR MAIA,hecttor-maia,03/11/2010,1,Teixeira de Freitas,BA,164290,-17.5399,-39.74,560KM,592KM,525KM,321KM
HEGO SERVICOS E TRANSPORTES MARITIMOS LTDA ME,hego-servicos-e-transportes-maritimos-ltda-me,25/10/2011,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HELOISA MODAS,heloisa-modas,07/05/1996,1,Novo Horizonte,BA,12653,-12.8083,-42.1682,417KM,353KM,398KM,269KM
HELP CONSULTORIA,help-consultoria,23/11/1992,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HELVECIO DANTAS ALUGUEL DE MAQUINAS,helvecio-dantas-aluguel-de-maquinas,25/09/2008,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
HERING STORE,hering-store,01/11/2000,3,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HERING STORE,hering-store,10/09/1999,3,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HERINKEL INSTALACOES E SERVICOS,herinkel-instalacoes-e-servicos,23/11/1995,1,Gandu,BA,32778,-13.7441,-39.4747,170KM,173KM,136KM,193KM
HELTUR TRANSPORTES E TURISMO,heltur-transportes-e-turismo,22/12/2010,1,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
HERING STYLE,hering-style,15/09/2009,1,Luís Eduardo Magalhães,BA,92671,-12.0956,-45.7866,812KM,741KM,795KM,614KM
HEYGEO,heygeo,09/06/1992,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HEY JOE,hey-joe,02/10/1998,3,Lauro de Freitas,BA,204669,-12.8978,-38.321,22KM,99KM,21KM,348KM
HG MATERIAIS,hg-materiais,01/10/2010,1,Paulo Afonso,BA,119213,-9.3983,-38.2216,367KM,329KM,399KM,670KM
HG MATERIAIS PARA CONSTRUCAO,hg-materiais-para-construcao,20/04/2005,1,Condeúba,BA,17113,-14.9022,-41.9718,465KM,439KM,433KM,121KM
HERZOG REPRESENTACOES,herzog-representacoes,12/09/2001,1,Eunápolis,BA,115360,-16.3715,-39.5821,430KM,461KM,396KM,216KM
HERMES EMPREENDIMENTOS,hermes-empreendimentos,02/10/1984,5,Alagoinhas,BA,153023,-12.1335,-38.4208,64KM,61KM,94KM,400KM
HG SERVICE,hg-service,08/11/2007,3,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HESAL PLASTICOS,hesal-plasticos,05/06/2009,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HIDALGO PECAS E SERVICOS,hidalgo-pecas-e-servicos,17/05/2004,1,Buritirama,BA,21374,-10.7171,-43.6302,616KM,535KM,610KM,550KM
HIDRAUNORDESTE,hidraunordeste,20/09/1995,1,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,105KM,84KM,82KM,271KM
HIDRALUZ,hidraluz,09/11/2005,1,Canavieiras,BA,30722,-15.6722,-38.9536,337KM,379KM,304KM,222KM
HIDRA ENGENHARIA E MEIO AMBIENTE SOCIEDADE SIMPLES LTDA,hidra-engenharia-e-meio-ambiente-sociedade-simples-ltda,27/07/2010,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HI TRANSPORTES,hi-transportes,10/10/2011,3,Luís Eduardo Magalhães,BA,92671,-12.0956,-45.7866,812KM,741KM,795KM,614KM
HIDROHAND,hidrohand,30/06/2000,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HIDROLUX,hidrolux,23/05/1988,3,Cruz das Almas,BA,63923,-12.6675,-39.1008,84KM,47KM,73KM,308KM
HIDROGEOBAHIA,hidrogeobahia,22/11/1990,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HIDRO BOMBAS,hidro-bombas,06/11/1981,3,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HIDROS COMERCIO E SERVICOS,hidros-comercio-e-servicos,28/08/2001,1,Lauro de Freitas,BA,204669,-12.8978,-38.321,22KM,99KM,21KM,348KM
HILDEBRANDO MOLDURAS SERVICOS DE ARTES EM GERAL,hildebrando-molduras-servicos-de-artes-em-geral,12/12/1997,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HIDROFONTE,hidrofonte,19/08/1985,1,Guanambi,BA,85353,-14.2231,-42.7799,512KM,468KM,484KM,220KM
HIGIELIMP,higielimp,03/11/1999,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HIDROCENTER E PISCINAS,hidrocenter-e-piscinas,18/06/2009,1,Brumado,BA,67468,-14.2021,-41.6696,399KM,364KM,370KM,115KM
HIPER CESTAS,hiper-cestas,06/09/2007,1,Mascote,BA,13619,-15.5542,-39.3016,335KM,367KM,300KM,183KM
HIPER ITAO,hiper-itao,03/07/2007,5,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
HIPER LOJA LIMA MOVEIS E ELETROS,hiper-loja-lima-moveis-e-eletros,12/01/2011,1,Barrocas,BA,16225,-11.5272,-39.0776,154KM,83KM,172KM,417KM
HIMALAIA LOCACAO E SERVICOS,himalaia-locacao-e-servicos,21/07/2009,1,Serrinha,BA,81693,-11.6584,-39.01,137KM,68KM,156KM,407KM
HIPER BOM JESUS,hiper-bom-jesus,25/08/2006,3,Antas,BA,19659,-10.3856,-38.3401,257KM,220KM,288KM,566KM
HIPER TROPICAL,hiper-tropical,11/12/1995,3,Biritinga,BA,15989,-11.6072,-38.8051,132KM,75KM,155KM,423KM
HIPERCARD MONO NAC TODO DIA CONCEICAO DO JACUIPE,hipercard-mono-nac-todo-dia-conceicao-do-jacuipe,05/04/2011,5,Conceição do Jacuípe,BA,33631,-12.3268,-38.7684,63KM,23KM,77KM,359KM
HIPER NINO,hiper-nino,24/11/2011,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HIPERIDEAL,hiperideal,18/08/2004,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HIPERFARMA,hiperfarma,23/09/2011,3,Irará,BA,29305,-12.0504,-38.7631,86KM,33KM,106KM,384KM
HIPERDOCE,hiperdoce,14/05/1992,3,Juazeiro,BA,219544,-9.41622,-40.5033,435KM,358KM,451KM,607KM
HIPER PLAZA HOTEL,hiper-plaza-hotel,09/11/2005,1,Juazeiro,BA,219544,-9.41622,-40.5033,435KM,358KM,451KM,607KM
HLT MANUTENCAO E SERVICO,hlt-manutencao-e-servico,02/12/2010,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HJ MATERIAS DE CONSTRUCAO,hj-materias-de-construcao,28/05/1996,3,Formosa do Rio Preto,BA,26111,-11.0328,-45.193,768KM,690KM,757KM,632KM
HM EMPREENDIMENTOS,hm-empreendimentos,09/04/2012,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
HIPERMERCARDO OLIVEIRA,hipermercardo-oliveira,18/07/1997,1,Santa Rita de Cássia,BA,28613,-11.0063,-44.5255,698KM,620KM,688KM,583KM
HITA ENGENHARIA E ARQUITETURA LTDA,hita-engenharia-e-arquitetura-ltda,11/08/1995,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HIT'S MODAS,hits-modas,25/07/2005,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HM EVENTOS,hm-eventos,19/01/2007,1,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
HM GAS,hm-gas,15/08/2002,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HMED,hmed,07/07/2009,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HM SERVICOS,hm-servicos,08/08/2007,1,Lauro de Freitas,BA,204669,-12.8978,-38.321,22KM,99KM,21KM,348KM
HM MATERIAIS DE CONSTRUCAO,hm-materiais-de-construcao,10/10/2007,3,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
HMF TRANSPORTES,hmf-transportes,03/07/1986,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HN - CAR PECAS E SERVICOS,hn-car-pecas-e-servicos,08/04/2005,1,Capim Grosso,BA,31055,-11.3797,-40.0089,234KM,150KM,241KM,397KM
HM REPRESENTACOES,hm-representacoes,23/08/2010,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HOLOMED SERVICOS EM SAUDE,holomed-servicos-em-saude,11/12/2000,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HOME ATTEND SAUDE DOMICILIAR,home-attend-saude-domiciliar,24/05/2005,3,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
HOME CENTER CORTINAS,home-center-cortinas,06/11/2000,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HOLDING PURA,holding-pura,15/09/2010,5,Guanambi,BA,85353,-14.2231,-42.7799,512KM,468KM,484KM,220KM
HOME FABRINE,home-fabrine,27/07/2009,1,Tanque Novo,BA,17518,-13.5485,-42.4934,462KM,409KM,437KM,230KM
HOJE INDATA,hoje-indata,19/05/1989,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
HOMMEM.COM,hommemcom,30/01/2008,3,Teixeira de Freitas,BA,164290,-17.5399,-39.74,560KM,592KM,525KM,321KM
HOMES TRANCOSO,homes-trancoso,21/12/2011,1,Porto Seguro,BA,152529,-16.4435,-39.0643,424KM,465KM,391KM,260KM
HOMEMED,homemed,20/05/2004,1,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,105KM,84KM,82KM,271KM
HOME BARBER,home-barber,09/04/2010,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HORA CERTA BRASIL,hora-certa-brasil,13/07/2011,1,Lauro de Freitas,BA,204669,-12.8978,-38.321,22KM,99KM,21KM,348KM
HORA DE BRINCAR,hora-de-brincar,19/01/2001,1,Eunápolis,BA,115360,-16.3715,-39.5821,430KM,461KM,396KM,216KM
HOME DESIGN - MATERIAL DE CONSTRUCAO,home-design-material-de-construcao,02/10/2009,1,Castro Alves,BA,26369,-12.7579,-39.4248,119KM,74KM,103KM,279KM
HORA EXTRA,hora-extra,28/09/1993,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HORTALICAS JUA,hortalicas-jua,09/01/2009,1,Juazeiro,BA,219544,-9.41622,-40.5033,435KM,358KM,451KM,607KM
HORIZONTE,horizonte,21/08/2002,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
HORTFRUT SANTANA,hortfrut-santana,06/12/2010,1,Cachoeira,BA,33659,-12.5994,-38.9587,69KM,37KM,65KM,323KM
HORTFRUTI RANCHO DAS PEDRAS,hortfruti-rancho-das-pedras,16/11/2010,1,Ubatã,BA,27481,-14.2063,-39.5207,212KM,224KM,176KM,160KM
HORTICULTURA DOIS IRMAOS,horticultura-dois-irmaos,29/08/1997,1,Malhada,BA,16875,-14.3371,-43.7686,618KM,570KM,591KM,320KM
